CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription Duration
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,1498,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,1722,366
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2833,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1105,365
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,1015,366
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2384,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2991,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,2450,366
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1472,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1628,366
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2502,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1952,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2758,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2193,365
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2285,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1852,366
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1372,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,1971,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1980,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2611,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,1431,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1372,366
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2787,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2144,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2162,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,2755,366
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1873,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2554,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1388,366
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2673,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1286,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,1242,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1132,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2654,365
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2212,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1158,366
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2289,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1883,365
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1047,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,2936,366
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1875,365
